part,prov,short_status,long_status,n_depletions,n_shipments,depletions_baseline,shipments_baseline,calc_baseline,log,partprov
101109,AB,Active,Active - mature - permanent,52,98,133,168,133,,101109AB
101109,MB,Active,Active - mature - permanent,0,99,na,66,66,,101109MB
101109,NL,Active,Active - mature - permanent,52,99,130,54,54,,101109NL
101109,SK,X,X - historical,0,99,na,9,na,,101109SK
101119,MB,Active,Active - mature - permanent,0,99,na,41,41,,101119MB
101119,NL,Active,Active - mature - exiting,52,99,60,56,56,,101119NL
101119,NS,Active,Active - mature - exiting,52,97,151,203,151,,101119NS
101119,ON,Active,Active - mature - exiting,52,99,510,512,510,,101119ON
101119,PE,Active,Active - mature - exiting,52,99,22,3,3,,101119PE
101119,SK,X,X - historical,0,99,na,3,na,,101119SK
101137,MB,X,X - historical,0,99,na,0,na,,101137MB
101155,MB,Active,Active - mature - permanent,0,99,na,58,58,,101155MB
101155,NL,Active,Active - mature - permanent,52,99,100,172,172,,101155NL
101155,PE,Active,Active - mature - permanent,52,97,27,3,3,,101155PE
101155,SK,X,X - historical,0,99,na,0,na,,101155SK
101168,AB,X,X - historical,52,98,0,0,na,,101168AB
101168,MB,Active,Active - mature - permanent,0,99,na,57,57,,101168MB
101168,NB,Active,Active - mature - exiting,52,83,56,50,30.0,,101168NB
101168,NL,Active,Active - mature - exiting,52,99,98,128,128,,101168NL
101168,ON,Active,Active - mature - exiting,49,99,659,511,659,,101168ON
101168,QC,Active,Active - mature - exiting,52,95,92,39,92,,101168QC
101168,SK,X,X - historical,0,99,na,0,na,,101168SK
101170,QC,Active,Active - mature - exiting,52,98,518,524,518,,101170QC
101272,MB,X,X - historical,0,97,na,0,na,,101272MB
101272,ON,X,X - historical,0,92,na,19,na,,101272ON
101273,MB,Active,Active - mature - permanent,0,99,na,29,29,,101273MB
101273,NL,Active,Active - mature - exiting,0,99,na,373,373,,101273NL
101273,ON,Active,Active - mature - permanent,0,99,na,20,na,[ERROR]: Unable to fc; check baseline.,101273ON
101273,SK,X,X - historical,0,99,na,0,na,,101273SK
101274,MB,X,X - historical,0,99,na,1,na,,101274MB
101274,NL,X,X - historical,52,99,0,0,na,,101274NL
101274,NS,X,X - historical,52,99,11,0,na,,101274NS
101274,ON,X,X - historical,52,99,0,54,na,,101274ON
101274,SK,X,X - historical,0,99,na,0,na,,101274SK
101275,MB,X,X - historical,0,97,na,0,na,,101275MB
101275,ON,X,X - historical,0,95,na,14,na,,101275ON
101275,QC,X,X - historical,0,87,na,0,na,,101275QC
101276,MB,Active,Active - mature - permanent,0,99,na,41,41,,101276MB
101276,NL,Active,Active - mature - exiting,52,99,54,368,368,,101276NL
101276,ON,Active,Active - mature - permanent,52,99,33,31,33,,101276ON
101276,SK,X,X - historical,0,99,na,0,na,,101276SK
101277,MB,X,X - historical,0,99,na,1,na,,101277MB
101277,NL,X,X - historical,52,99,0,0,na,,101277NL
101277,NS,X,X - historical,52,99,10,0,na,,101277NS
101277,ON,X,X - historical,50,98,0,24,na,,101277ON
101277,SK,X,X - historical,0,99,na,0,na,,101277SK
101300,MB,X,X - historical,0,99,na,0,na,,101300MB
101300,QC,Active,Active - mature - exiting,52,96,561,544,561,,101300QC
101304,AB,Active,Active - mature - exiting,52,99,247,296,247,,101304AB
101304,MB,Active,Active - mature - permanent,0,99,na,35,35,,101304MB
101304,NB,Active,Active - mature - exiting,52,85,32,9,30.0,,101304NB
101304,NL,Active,Active - mature - exiting,52,99,41,43,43,,101304NL
101304,ON,Active,Active - mature - exiting,52,99,100,111,100,,101304ON
101304,PE,Active,Active - mature - exiting,52,93,12,2,2,,101304PE
101304,SK,X,X - historical,0,97,na,1,na,,101304SK
101309,QC,Active,Active - mature - exiting,52,98,457,364,457,,101309QC
101312,AB,Active,Active - mature - permanent,36,98,433,586,433,,101312AB
101312,BC,Active,Active - mature - permanent,24,99,465,450,465,,101312BC
101312,MB,Active,Active - mature - permanent,0,99,na,174,174,,101312MB
101312,ON,Active,Active - mature - permanent,52,99,452,502,452,,101312ON
101312,SK,X,X - historical,0,97,na,15,na,,101312SK
101313,AB,Active,Active - mature - permanent,37,99,343,914,343,,101313AB
101313,BC,Active,Active - mature - permanent,11,99,287,451,287,,101313BC
101313,MB,Active,Active - mature - permanent,0,99,na,260,260,,101313MB
101313,ON,Active,Active - mature - permanent,52,99,516,632,516,,101313ON
101313,SK,X,X - historical,0,99,na,25,na,,101313SK
101314,MB,X,X - historical,0,99,na,0,na,,101314MB
101314,ON,X,X - historical,52,99,0,0,na,,101314ON
101314,SK,X,X - historical,0,97,na,0,na,,101314SK
101335,AB,X,X - historical,52,82,0,0,na,,101335AB
101335,MB,X,X - historical,0,99,na,0,na,,101335MB
101335,NS,X,X - historical,52,81,0,0,na,,101335NS
101335,ON,X,X - historical,52,99,0,0,na,,101335ON
101335,SK,X,X - historical,0,99,na,0,na,,101335SK
101407,MB,X,X - historical,0,99,na,0,na,,101407MB
101407,NL,X,X - historical,52,99,0,0,na,,101407NL
101407,ON,X,X - historical,52,99,1,0,na,,101407ON
101407,SK,X,X - historical,0,99,na,0,na,,101407SK
101410,AB,Active,Active - mature - permanent,52,99,2,1617,2,,101410AB
101410,MB,Active,Active - mature - permanent,0,99,na,0,0,,101410MB
101410,NL,Active,Active - mature - exiting,52,97,1,360,360,,101410NL
101410,NS,Active,Active - NPD - permanent,52,13,0,32,0,,101410NS
101410,ON,Active,Active - mature - permanent,52,99,39,57,39,,101410ON
101410,PE,X,X - historical,51,95,0,0,na,,101410PE
101410,SK,Active,Active - mature - permanent,0,99,na,4,4,,101410SK
101411,AB,Active,Active - mature - permanent,52,99,1,1619,1,,101411AB
101411,MB,X,X - historical,0,99,na,0,na,,101411MB
101411,NL,Active,Active - mature - exiting,52,98,0,360,360,,101411NL
101411,NS,Active,Active - NPD - permanent,0,13,na,14,na,[ERROR]: Unable to fc; check baseline.,101411NS
101411,ON,Active,Active - mature - permanent,52,94,0,14,0,,101411ON
101411,PE,X,X - historical,50,97,0,0,na,,101411PE
101411,QC,X,X - historical,0,98,na,0,na,,101411QC
101411,SK,X,X - historical,0,99,na,1,na,,101411SK
101440,MB,X,X - historical,0,67,na,0,na,,101440MB
101454,AB,X,X - historical,48,79,0,0,na,,101454AB
101454,MB,X,X - historical,0,93,na,0,na,,101454MB
101454,ON,X,X - historical,47,79,0,0,na,,101454ON
101454,SK,X,X - historical,0,75,na,0,na,,101454SK
101525,BC,X,X - historical,52,85,1,2,na,,101525BC
101527,SK,X,X - historical,0,99,na,0,na,,101527SK
101546,QC,Active,Active - mature - exiting,17,98,6,1808,6,,101546QC
101555,AB,X,X - historical,47,89,37,4,na,,101555AB
101555,MB,X,X - historical,0,90,na,9,na,,101555MB
101555,NL,X,X - historical,52,90,0,0,na,,101555NL
101555,ON,X,X - historical,52,91,15,9,na,,101555ON
101555,SK,X,X - historical,0,90,na,3,na,,101555SK
101572,MB,X,X - historical,0,68,na,0,na,,101572MB
101572,SK,X,X - historical,0,73,na,0,na,,101572SK
101573,MB,X,X - historical,0,93,na,0,na,,101573MB
101573,NS,X,X - historical,52,83,0,0,na,,101573NS
101573,ON,X,X - historical,0,82,na,0,na,,101573ON
101573,SK,X,X - historical,0,83,na,0,na,,101573SK
101584,SK,X,X - historical,0,91,na,0,na,,101584SK
101589,AB,X,X - historical,52,87,5,0,na,,101589AB
101589,MB,X,X - historical,0,99,na,2,na,,101589MB
101589,NL,X,X - historical,52,99,5,0,na,,101589NL
101589,ON,X,X - historical,52,99,2,8,na,,101589ON
101589,SK,X,X - historical,0,99,na,0,na,,101589SK
101590,AB,Active,Active - mature - permanent,52,99,107,127,107,,101590AB
101590,MB,Active,Active - mature - permanent,0,99,na,39,39,,101590MB
101590,NB,Active,Active - mature - permanent,52,95,66,11,70.0,,101590NB
101590,NL,Active,Active - mature - permanent,52,99,66,102,102,,101590NL
101590,NS,Active,Active - mature - permanent,52,99,112,94,112,,101590NS
101590,ON,Active,Active - mature - permanent,52,97,42,15,42,,101590ON
101590,PE,Active,Active - mature - permanent,52,99,20,8,8,,101590PE
101590,SK,X,X - historical,0,99,na,0,na,,101590SK
101591,AB,Active,Active - mature - permanent,52,99,145,129,145,,101591AB
101591,MB,Active,Active - mature - permanent,0,99,na,38,38,,101591MB
101591,NB,Active,Active - mature - permanent,52,85,51,10,60.0,,101591NB
101591,NL,Active,Active - mature - permanent,52,99,41,93,93,,101591NL
101591,NS,Active,Active - mature - permanent,52,97,119,108,119,,101591NS
101591,ON,Active,Active - mature - permanent,52,99,68,61,68,,101591ON
101591,PE,Active,Active - mature - permanent,52,95,24,6,6,,101591PE
101591,SK,X,X - historical,0,99,na,0,na,,101591SK
101606,AB,X,X - historical,52,81,0,0,na,,101606AB
101606,MB,X,X - historical,0,80,na,0,na,,101606MB
101606,NS,X,X - historical,52,79,0,0,na,,101606NS
101606,ON,X,X - historical,46,81,0,0,na,,101606ON
101606,PE,X,X - historical,0,77,na,0,na,,101606PE
101606,SK,X,X - historical,0,80,na,0,na,,101606SK
101607,AB,X,X - historical,52,80,0,0,na,,101607AB
101607,MB,X,X - historical,0,80,na,0,na,,101607MB
101607,ON,X,X - historical,0,80,na,0,na,,101607ON
101607,SK,X,X - historical,0,80,na,0,na,,101607SK
101608,AB,X,X - historical,52,81,0,0,na,,101608AB
101608,MB,X,X - historical,0,82,na,0,na,,101608MB
101608,ON,X,X - historical,52,81,0,0,na,,101608ON
101608,SK,X,X - historical,0,82,na,0,na,,101608SK
101694,MB,X,X - historical,0,99,na,0,na,,101694MB
101694,ON,X,X - historical,0,99,na,16,na,,101694ON
101694,QC,X,X - historical,0,98,na,0,na,,101694QC
101695,MB,X,X - historical,0,99,na,0,na,,101695MB
101700,QC,X,X - historical,0,98,na,0,na,,101700QC
101702,ON,X,X - historical,0,99,na,20,na,,101702ON
101703,BC,X,X - historical,52,99,0,0,na,,101703BC
101703,MB,X,X - historical,0,99,na,0,na,,101703MB
101703,ON,X,X - historical,52,98,0,0,na,,101703ON
101703,SK,X,X - historical,0,95,na,0,na,,101703SK
101704,MB,X,X - historical,0,99,na,0,na,,101704MB
101706,QC,X,X - historical,52,98,0,0,na,,101706QC
101706,SK,X,X - historical,0,46,na,0,na,,101706SK
101708,AB,X,X - historical,52,99,0,0,na,,101708AB
101708,MB,X,X - historical,0,99,na,0,na,,101708MB
101708,NL,X,X - historical,52,98,0,0,na,,101708NL
101708,PE,X,X - historical,52,87,0,0,na,,101708PE
101708,SK,X,X - historical,0,97,na,0,na,,101708SK
101711,AB,X,X - historical,52,96,0,0,na,,101711AB
101711,BC,X,X - historical,52,96,0,0,na,,101711BC
101711,MB,Active,Active - mature - permanent,0,96,na,56,56,,101711MB
101711,NL,Active,Active - mature - exiting,52,81,23,234,234,,101711NL
101711,NS,Active,Active - mature - exiting,52,99,267,436,267,,101711NS
101711,ON,Active,Active - mature - exiting,52,96,1,1350,1,,101711ON
101711,PE,X,X - historical,0,97,na,0,na,,101711PE
101711,SK,X,X - historical,0,96,na,1,na,,101711SK
101712,AB,Active,Active - mature - exiting,52,99,194,149,194,,101712AB
101712,BC,Active,Active - mature - exiting,52,99,260,88,260,,101712BC
101712,MB,Active,Active - mature - exiting,0,97,na,106,106,,101712MB
101712,NL,Active,Active - mature - exiting,52,95,34,40,40,,101712NL
101712,NS,Active,Active - mature - exiting,52,99,185,149,185,,101712NS
101712,ON,Active,Active - mature - exiting,51,99,636,839,636,,101712ON
101712,PE,X,X - historical,52,97,0,0,na,,101712PE
101712,SK,Active,Active - mature - exiting,0,96,na,97,97,,101712SK
101717,MB,X,X - historical,0,99,na,0,na,,101717MB
101717,ON,X,X - historical,0,98,na,25,na,,101717ON
101717,SK,X,X - historical,0,96,na,0,na,,101717SK
101718,NS,X,X - historical,52,91,27,0,na,,101718NS
101724,SK,X,X - historical,0,40,na,0,na,,101724SK
101725,MB,X,X - historical,0,99,na,0,na,,101725MB
101725,QC,X,X - historical,0,98,na,0,na,,101725QC
101725,SK,X,X - historical,0,92,na,0,na,,101725SK
101731,AB,Active,Active - mature - exiting,44,99,458,949,458,,101731AB
101731,BC,Active,Active - mature - exiting,52,99,398,134,398,,101731BC
101731,MB,Active,Active - mature - exiting,0,99,na,127,127,,101731MB
101731,NL,Active,Active - mature - exiting,52,95,46,139,139,,101731NL
101731,NS,Active,Active - mature - exiting,52,99,151,178,151,,101731NS
101731,ON,Active,Active - mature - exiting,23,99,35,1515,35,,101731ON
101731,PE,X,X - historical,52,81,0,0,na,,101731PE
101731,SK,Active,Active - mature - exiting,0,99,na,98,98,,101731SK
101732,QC,Active,Active - mature - exiting,49,99,4,1182,4,,101732QC
101734,QC,X,X - historical,52,98,14,0,na,,101734QC
101735,QC,X,X - historical,52,98,1,0,na,,101735QC
101737,MB,X,X - historical,0,99,na,0,na,,101737MB
101737,SK,X,X - historical,0,92,na,0,na,,101737SK
101744,MB,X,X - historical,0,97,na,0,na,,101744MB
101761,AB,X,X - historical,25,29,9,0,na,,101761AB
101761,BC,Active,Active - mature - exiting,44,47,403,342,403,,101761BC
101761,MB,Active,Active - mature - exiting,0,42,na,119,119,,101761MB
101761,ON,Active,Active - mature - exiting,31,36,313,526,313,,101761ON
101761,SK,Active,Active - mature - exiting,0,46,na,70,70,,101761SK
101764,AB,X,X - historical,52,99,17,0,na,,101764AB
101764,BC,X,X - historical,52,99,39,1,na,,101764BC
101764,MB,X,X - historical,0,97,na,3,na,,101764MB
101764,ON,X,X - historical,52,97,223,57,na,,101764ON
101764,SK,X,X - historical,0,97,na,3,na,,101764SK
101774,QC,X,X - historical,0,98,na,0,na,,101774QC
101787,AB,X,X - historical,52,85,0,0,na,,101787AB
101787,MB,Active,Active - mature - permanent,0,88,na,69,69,,101787MB
101787,NL,X,X - historical,25,29,106,9,na,,101787NL
101787,NS,Active,Active - mature - permanent,52,61,522,115,522,,101787NS
101787,ON,Active,Active - mature - permanent,46,88,720,259,720,,101787ON
101787,PE,Active,Active - mature - permanent,52,75,37,24,24,,101787PE
101787,SK,X,X - historical,0,87,na,22,na,,101787SK
101815,AB,X,X - historical,0,99,na,0,na,,101815AB
101815,MB,X,X - historical,0,99,na,0,na,,101815MB
101815,ON,X,X - historical,0,99,na,42,na,,101815ON
101815,QC,X,X - historical,52,98,0,0,na,,101815QC
101815,SK,X,X - historical,0,92,na,0,na,,101815SK
101819,MB,X,X - historical,0,99,na,0,na,,101819MB
101819,SK,X,X - historical,0,99,na,0,na,,101819SK
101823,QC,Active,Active - mature - exiting,52,98,410,396,410,,101823QC
101836,BC,Active,Active - mature - exiting,52,99,187,133,187,,101836BC
101836,MB,Active,Active - mature - exiting,0,99,na,48,48,,101836MB
101836,NL,X,X - historical,52,99,13,88,na,,101836NL
101836,PE,X,X - historical,52,97,0,0,na,,101836PE
101836,SK,Active,Active - mature - exiting,0,99,na,76,76,,101836SK
101837,AB,Active,Active - mature - exiting,52,99,316,385,316,,101837AB
101837,BC,X,X - historical,52,86,79,5,na,,101837BC
101837,MB,Active,Active - mature - exiting,0,99,na,184,184,,101837MB
101837,NL,X,X - historical,52,99,2,0,na,,101837NL
101837,NS,X,X - historical,52,91,9,0,na,,101837NS
101837,ON,Active,Active - mature - exiting,52,99,189,107,189,,101837ON
101837,PE,X,X - historical,52,99,0,0,na,,101837PE
101837,SK,Active,Active - mature - exiting,0,99,na,196,196,,101837SK
101838,AB,X,X - historical,52,97,0,0,na,,101838AB
101838,BC,Active,Active - mature - exiting,52,98,204,183,204,,101838BC
101838,MB,Active,Active - mature - exiting,0,99,na,69,69,,101838MB
101838,NL,X,X - historical,52,99,6,0,na,,101838NL
101838,PE,X,X - historical,52,97,0,0,na,,101838PE
101838,SK,Active,Active - mature - exiting,0,99,na,70,70,,101838SK
101839,AB,Active,Active - mature - exiting,52,99,444,628,444,,101839AB
101839,BC,X,X - historical,52,62,112,2,na,,101839BC
101839,MB,Active,Active - mature - exiting,0,99,na,163,163,,101839MB
101839,NL,X,X - historical,52,99,2,0,na,,101839NL
101839,NS,X,X - historical,52,91,9,0,na,,101839NS
101839,ON,Active,Active - mature - exiting,52,99,202,170,202,,101839ON
101839,PE,X,X - historical,0,99,na,0,na,,101839PE
101839,SK,Active,Active - mature - exiting,0,99,na,134,134,,101839SK
101877,QC,Active,Active - mature - exiting,52,98,806,761,806,,101877QC
101879,MB,X,X - historical,0,89,na,0,na,,101879MB
101879,SK,X,X - historical,0,97,na,0,na,,101879SK
101880,AB,X,X - historical,0,99,na,0,na,,101880AB
101880,ON,X,X - historical,0,98,na,0,na,,101880ON
101892,QC,Active,Active - mature - exiting,52,98,228,251,228,,101892QC
101897,MB,X,X - historical,0,99,na,0,na,,101897MB
101897,ON,X,X - historical,0,99,na,9,na,,101897ON
101897,SK,X,X - historical,0,97,na,0,na,,101897SK
101898,QC,Active,Active - mature - exiting,52,98,529,735,529,,101898QC
101900,SK,X,X - historical,0,73,na,0,na,,101900SK
101901,AB,Active,Active - mature - permanent,52,85,325,244,325,,101901AB
101901,MB,Active,Active - mature - permanent,0,82,na,83,83,,101901MB
101901,ON,Active,Active - mature - permanent,52,85,541,733,541,,101901ON
101901,PE,Active,Active - mature - permanent,32,35,41,6,6,,101901PE
101901,SK,X,X - historical,0,82,na,15,na,,101901SK
101902,AB,Active,Active - mature - permanent,52,85,409,380,409,,101902AB
101902,MB,Active,Active - mature - permanent,0,81,na,55,55,,101902MB
101902,ON,Active,Active - mature - permanent,52,87,375,157,375,,101902ON
101902,SK,X,X - historical,0,86,na,17,na,,101902SK
101906,MB,X,X - historical,0,70,na,0,na,,101906MB
101906,SK,X,X - historical,0,90,na,0,na,,101906SK
101908,AB,X,X - historical,0,76,na,0,na,,101908AB
101908,MB,X,X - historical,0,99,na,0,na,,101908MB
101908,ON,X,X - historical,52,99,0,0,na,,101908ON
101908,SK,X,X - historical,0,99,na,0,na,,101908SK
101909,MB,X,X - historical,0,99,na,0,na,,101909MB
101909,SK,X,X - historical,0,84,na,0,na,,101909SK
101910,MB,X,X - historical,0,86,na,0,na,,101910MB
101910,NL,X,X - historical,51,72,0,0,na,,101910NL
101910,ON,X,X - historical,52,69,0,6,na,,101910ON
101919,SK,X,X - historical,0,61,na,0,na,,101919SK
101922,AB,X,X - historical,0,95,na,0,na,,101922AB
101922,MB,X,X - historical,0,99,na,0,na,,101922MB
101922,ON,X,X - historical,0,98,na,0,na,,101922ON
101922,SK,X,X - historical,0,99,na,0,na,,101922SK
101924,SK,X,X - historical,0,76,na,0,na,,101924SK
101936,MB,X,X - historical,0,99,na,0,na,,101936MB
101936,ON,X,X - historical,0,96,na,59,na,,101936ON
101936,SK,X,X - historical,0,66,na,0,na,,101936SK
101938,NS,X,X - historical,0,97,na,0,na,,101938NS
101938,ON,X,X - historical,0,92,na,0,na,,101938ON
101944,AB,Active,Active - mature - exiting,52,99,450,480,450,,101944AB
101944,BC,Active,Active - mature - exiting,0,98,na,1641,na,[ERROR]: Unable to fc; check baseline.,101944BC
101944,MB,Active,Active - mature - permanent,0,31,na,29,29,,101944MB
101944,ON,Active,Active - mature - exiting,34,99,260,1199,260,,101944ON
101944,QC,Active,Active - mature - exiting,0,98,na,4566,na,[ERROR]: Unable to fc; check baseline.,101944QC
101944,SK,X,X - historical,0,28,na,0,na,,101944SK
101945,AB,X,X - historical,0,68,na,0,na,,101945AB
101948,AB,Active,Active - mature - permanent,0,99,na,3749,na,[ERROR]: Unable to fc; check baseline.,101948AB
101948,BC,Active,Active - mature - permanent,52,83,739,813,739,,101948BC
101948,MB,Active,Active - mature - permanent,0,99,na,180,180,,101948MB
101948,NL,Active,Active - mature - permanent,52,94,47,98,98,,101948NL
101948,ON,Active,Active - mature - permanent,0,99,na,2667,na,[ERROR]: Unable to fc; check baseline.,101948ON
101948,PE,X,X - historical,52,93,1,0,na,,101948PE
101948,SK,Active,Active - mature - permanent,0,94,na,175,175,,101948SK
101949,AB,Active,Active - mature - permanent,0,99,na,2132,na,[ERROR]: Unable to fc; check baseline.,101949AB
101949,BC,Active,Active - mature - permanent,52,83,588,360,588,,101949BC
101949,MB,Active,Active - mature - permanent,0,99,na,124,124,,101949MB
101949,NL,Active,Active - mature - permanent,52,73,27,93,93,,101949NL
101949,ON,Active,Active - mature - permanent,0,99,na,1930,na,[ERROR]: Unable to fc; check baseline.,101949ON
101949,PE,X,X - historical,52,87,1,0,na,,101949PE
101949,SK,Active,Active - mature - permanent,0,87,na,181,181,,101949SK
101954,MB,X,X - historical,0,99,na,0,na,,101954MB
101954,SK,X,X - historical,0,90,na,0,na,,101954SK
101959,QC,Active,Active - mature - exiting,0,98,na,4912,na,[ERROR]: Unable to fc; check baseline.,101959QC
101961,MB,X,X - historical,0,71,na,0,na,,101961MB
101961,QC,X,X - historical,52,98,0,0,na,,101961QC
101969,AB,X,X - historical,50,97,45,4,na,,101969AB
101969,BC,Active,Active - mature - permanent,52,99,408,137,408,,101969BC
101969,MB,Active,Active - mature - permanent,0,98,na,33,33,,101969MB
101969,ON,Active,Active - mature - permanent,48,75,441,676,441,,101969ON
101969,SK,X,X - historical,0,99,na,1,na,,101969SK
101970,ON,X,X - historical,0,83,na,0,na,,101970ON
101970,SK,X,X - historical,0,41,na,0,na,,101970SK
101994,MB,X,X - historical,0,98,na,0,na,,101994MB
101994,SK,X,X - historical,0,90,na,0,na,,101994SK
102005,QC,X,X - historical,71,87,na,0,na,,102005QC
102025,MB,X,X - historical,0,71,na,0,na,,102025MB
102027,MB,Active,Active - mature - permanent,0,99,na,47,47,,102027MB
102027,NL,X,X - historical,52,74,0,0,na,,102027NL
102027,ON,Active,Active - mature - exiting,52,96,403,404,403,,102027ON
102027,SK,X,X - historical,0,90,na,1,na,,102027SK
102028,MB,Active,Active - mature - permanent,0,99,na,50,50,,102028MB
102028,NL,X,X - historical,52,74,0,0,na,,102028NL
102028,ON,Active,Active - mature - exiting,52,96,371,253,371,,102028ON
102028,SK,X,X - historical,0,90,na,1,na,,102028SK
102032,NL,X,X - historical,0,99,na,0,na,,102032NL
102033,NL,X,X - historical,0,99,na,0,na,,102033NL
102034,NL,X,X - historical,31,98,16,0,na,,102034NL
102035,NL,X,X - historical,0,99,na,0,na,,102035NL
102036,AB,X,X - historical,0,87,na,0,na,,102036AB
102036,BC,X,X - historical,52,85,2,0,na,,102036BC
102036,MB,Active,Active - mature - permanent,0,88,na,59,59,,102036MB
102036,NL,X,X - historical,52,87,0,0,na,,102036NL
102036,NS,Active,Active - mature - permanent,52,87,95,5,95,,102036NS
102036,ON,X,X - historical,52,78,87,13,na,,102036ON
102036,SK,X,X - historical,0,87,na,4,na,,102036SK
102037,AB,X,X - historical,49,87,16,2,na,,102037AB
102037,BC,Active,Active - mature - permanent,52,85,687,316,687,,102037BC
102037,MB,Active,Active - mature - permanent,0,88,na,68,68,,102037MB
102037,NL,X,X - historical,52,74,25,3,na,,102037NL
102037,ON,Active,Active - mature - permanent,52,78,281,391,281,,102037ON
102037,PE,Active,Active - mature - permanent,48,53,13,4,4,,102037PE
102037,SK,X,X - historical,0,87,na,4,na,,102037SK
102045,MB,X,X - historical,0,99,na,0,na,,102045MB
102045,NS,X,X - historical,52,95,1,0,na,,102045NS
102045,ON,X,X - historical,52,91,0,0,na,,102045ON
102045,SK,X,X - historical,0,95,na,0,na,,102045SK
102046,QC,X,X - historical,52,87,129,10,na,,102046QC
102051,QC,X,X - historical,52,87,170,19,na,,102051QC
102052,MB,X,X - historical,0,99,na,0,na,,102052MB
102052,ON,X,X - historical,0,75,na,0,na,,102052ON
102052,PE,X,X - historical,0,93,na,0,na,,102052PE
102052,SK,X,X - historical,0,99,na,0,na,,102052SK
102053,AB,Active,Active - mature - permanent,52,99,704,451,704,,102053AB
102053,MB,Active,Active - mature - permanent,0,97,na,88,88,,102053MB
102053,PE,X,X - historical,0,93,na,0,na,,102053PE
102053,SK,X,X - historical,0,97,na,7,na,,102053SK
102058,ON,X,X - historical,0,83,na,0,na,,102058ON
102058,QC,X,X - historical,52,85,0,0,na,,102058QC
102059,AB,Active,Active - mature - exiting,50,91,592,565,592,,102059AB
102059,BC,Active,Active - mature - exiting,52,85,595,597,595,,102059BC
102059,MB,Active,Active - mature - exiting,0,89,na,119,119,,102059MB
102059,NL,Active,Active - mature - exiting,52,74,123,208,208,,102059NL
102059,ON,Active,Active - mature - exiting,49,73,189,1165,189,,102059ON
102059,PE,X,X - historical,26,29,1,0,na,,102059PE
102059,SK,Active,Active - mature - exiting,0,89,na,151,151,,102059SK
102063,AB,X,X - historical,52,87,0,0,na,,102063AB
102063,MB,X,X - historical,0,53,na,30,na,,102063MB
102063,ON,X,X - historical,49,83,0,0,na,,102063ON
102063,SK,X,X - historical,0,55,na,0,na,,102063SK
102064,AB,X,X - historical,52,74,0,0,na,,102064AB
102064,MB,X,X - historical,0,44,na,18,na,,102064MB
102064,ON,X,X - historical,52,73,2,0,na,,102064ON
102064,SK,X,X - historical,0,53,na,0,na,,102064SK
102065,BC,Active,Active - mature - permanent,52,86,146,59,146,,102065BC
102066,AB,X,X - historical,52,87,0,0,na,,102066AB
102066,BC,X,X - historical,38,41,3,0,na,,102066BC
102066,MB,X,X - historical,0,87,na,9,na,,102066MB
102066,ON,X,X - historical,52,78,1,1,na,,102066ON
102066,SK,X,X - historical,0,88,na,0,na,,102066SK
102069,MB,X,X - historical,0,96,na,0,na,,102069MB
102069,SK,X,X - historical,0,99,na,0,na,,102069SK
102074,AB,X,X - historical,52,60,0,0,na,,102074AB
102074,MB,X,X - historical,0,96,na,0,na,,102074MB
102074,SK,X,X - historical,0,90,na,0,na,,102074SK
102078,AB,X,X - historical,52,67,0,0,na,,102078AB
102078,BC,Active,Active - mature - permanent,52,99,350,194,350,,102078BC
102078,MB,Active,Active - mature - permanent,0,99,na,181,181,,102078MB
102078,NL,Active,Active - mature - permanent,52,98,29,122,122,,102078NL
102078,NS,Active,Active - mature - permanent,52,91,96,106,96,,102078NS
102078,ON,Active,Active - mature - permanent,52,87,598,512,598,,102078ON
102078,PE,Active,Active - mature - permanent,48,59,67,25,25,,102078PE
102078,SK,X,X - historical,0,99,na,39,na,,102078SK
102080,SK,X,X - historical,0,43,na,0,na,,102080SK
102082,SK,X,X - historical,0,72,na,0,na,,102082SK
102084,AB,X,X - historical,50,63,0,0,na,,102084AB
102084,BC,X,X - historical,52,79,0,0,na,,102084BC
102084,MB,X,X - historical,0,76,na,0,na,,102084MB
102084,ON,X,X - historical,52,84,13,8,na,,102084ON
102084,SK,X,X - historical,0,76,na,5,na,,102084SK
102085,AB,X,X - historical,52,62,0,0,na,,102085AB
102085,ON,X,X - historical,52,84,3,0,na,,102085ON
102086,AB,X,X - historical,52,80,0,0,na,,102086AB
102086,BC,X,X - historical,52,79,0,0,na,,102086BC
102086,MB,X,X - historical,0,76,na,0,na,,102086MB
102086,ON,X,X - historical,0,64,na,1,na,,102086ON
102086,SK,X,X - historical,0,75,na,3,na,,102086SK
102090,QC,X,X - historical,52,87,0,0,na,,102090QC
102095,AB,X,X - historical,52,82,1,0,na,,102095AB
102095,ON,X,X - historical,52,91,73,14,na,,102095ON
102096,ON,X,X - historical,52,91,7,0,na,,102096ON
102097,ON,X,X - historical,52,91,21,1,na,,102097ON
102098,AB,Active,Active - mature - exiting,52,88,606,1108,606,,102098AB
102098,BC,Active,Active - mature - exiting,52,94,238,193,238,,102098BC
102098,MB,Active,Active - mature - exiting,0,86,na,42,42,,102098MB
102098,NL,Active,Active - mature - exiting,52,67,24,104,104,,102098NL
102098,NS,Active,Active - mature - exiting,52,67,141,271,141,,102098NS
102098,ON,Active,Active - mature - exiting,52,91,586,1124,586,,102098ON
102098,PE,X,X - historical,48,59,1,0,na,,102098PE
102098,SK,Active,Active - mature - exiting,0,89,na,88,88,,102098SK
