part,prov,first_ship,last_ship,partprov
101944,YT,2024-01-22,2025-06-02,101944YT
101945,AB,2024-03-04,2024-03-04,101945AB
101945,NB,2023-09-11,2023-09-11,101945NB
101945,NT,2023-08-07,2023-08-07,101945NT
101945,SK,2023-08-28,2023-09-25,101945SK
101948,AB,2023-07-31,2025-06-16,101948AB
101948,BC,2023-11-20,2025-06-16,101948BC
101948,MB,2023-07-31,2025-06-16,101948MB
101948,NB,2023-09-11,2023-12-18,101948NB
101948,NL,2023-09-04,2025-06-16,101948NL
101948,NT,2023-10-23,2025-04-28,101948NT
101948,NU,2024-09-23,2024-09-23,101948NU
101948,ON,2023-07-31,2025-06-16,101948ON
101948,PE,2023-09-11,2025-02-24,101948PE
101948,SK,2023-09-04,2025-06-16,101948SK
101948,YT,2024-06-17,2024-11-11,101948YT
101949,AB,2023-07-31,2025-06-16,101949AB
101949,BC,2023-11-20,2025-06-02,101949BC
101949,MB,2023-07-31,2025-06-16,101949MB
101949,NB,2023-09-11,2023-12-18,101949NB
101949,NL,2024-01-29,2025-06-16,101949NL
101949,NT,2023-10-23,2025-04-28,101949NT
101949,NU,2024-09-23,2024-12-16,101949NU
101949,ON,2023-07-31,2025-06-16,101949ON
101949,PE,2023-10-23,2025-02-10,101949PE
101949,SK,2023-10-23,2025-06-16,101949SK
101949,YT,2024-11-11,2024-11-11,101949YT
101952,ON,2025-03-17,2025-04-21,101952ON
101952,QC,2023-08-07,2023-12-18,101952QC
101953,MB,2023-07-31,2023-09-25,101953MB
101953,NT,2023-08-07,2023-10-23,101953NT
101953,NU,2023-08-21,2024-01-15,101953NU
101953,ON,2023-07-31,2023-09-25,101953ON
101953,PE,2023-07-31,2023-07-31,101953PE
101954,MB,2023-07-31,2024-05-27,101954MB
101954,NT,2023-08-07,2023-11-20,101954NT
101954,ON,2023-08-14,2023-10-23,101954ON
101954,SK,2023-10-02,2024-04-22,101954SK
101956,BC,2023-07-31,2024-08-26,101956BC
101956,MB,2023-07-31,2024-09-16,101956MB
101956,ON,2023-08-14,2024-11-04,101956ON
101956,PE,2023-08-28,2024-02-26,101956PE
101956,SK,2023-07-31,2024-04-15,101956SK
101959,NB,2025-04-07,2025-04-07,101959NB
101959,ON,2025-04-21,2025-04-21,101959ON
101959,QC,2023-08-07,2025-06-16,101959QC
101961,MB,2024-02-12,2024-02-12,101961MB
101961,QC,2023-08-07,2025-02-10,101961QC
101964,NB,2023-08-28,2023-08-28,101964NB
101964,ON,2023-07-31,2023-10-30,101964ON
101969,AB,2023-08-14,2025-03-17,101969AB
101969,BC,2023-07-31,2025-05-26,101969BC
101969,MB,2023-08-07,2025-06-16,101969MB
101969,NU,2024-02-12,2025-05-05,101969NU
101969,ON,2024-01-15,2025-06-09,101969ON
101969,SK,2023-07-31,2025-04-14,101969SK
101969,YT,2024-11-11,2024-11-11,101969YT
101970,ON,2023-11-20,2024-02-19,101970ON
101970,SK,2024-09-09,2024-09-09,101970SK
