part,prov,sow,demand
101109,NB,2024-11-18,0.0
101109,NB,2024-11-25,0.0
101109,NB,2024-12-02,0.0
101109,NB,2024-12-09,0.0
101109,NB,2024-12-16,0.0
101109,NB,2024-12-23,0.0
101109,NB,2024-12-30,0.0
101109,NB,2025-01-06,0.0
101109,NB,2025-01-13,0.0
101109,NB,2025-01-20,0.0
101109,NB,2025-01-27,0.0
101109,NB,2025-02-03,0.0
101109,NB,2025-02-10,0.0
101109,NB,2025-02-17,0.0
101109,NB,2025-02-24,0.0
101109,NB,2025-03-03,0.0
101109,NB,2025-03-10,0.0
101109,NB,2025-03-17,0.0
101109,NB,2025-03-24,840.0
101109,NB,2025-03-31,0.0
101109,NB,2025-04-07,0.0
101109,NB,2025-04-14,0.0
101109,NB,2025-04-21,0.0
101109,NB,2025-04-28,0.0
101109,NB,2025-05-05,0.0
101109,NB,2025-05-12,0.0
101109,NB,2025-05-19,0.0
101109,NB,2025-05-26,0.0
101109,NB,2025-06-02,0.0
101109,NB,2025-06-09,0.0
101109,NL,2023-07-03,240.0
101109,NL,2023-07-10,120.0
101109,NL,2023-07-17,0.0
101109,NL,2023-07-24,168.0
101109,NL,2023-07-31,264.0
101109,NL,2023-08-07,0.0
101109,NL,2023-08-14,0.0
101109,NL,2023-08-21,96.0
101109,NL,2023-08-28,96.0
101109,NL,2023-09-04,216.0
101109,NL,2023-09-11,120.0
101109,NL,2023-09-18,288.0
101109,NL,2023-09-25,240.0
101109,NL,2023-10-02,240.0
101109,NL,2023-10-09,264.0
101109,NL,2023-10-16,432.0
101109,NL,2023-10-23,0.0
101109,NL,2023-10-30,144.0
101109,NL,2023-11-06,0.0
101109,NL,2023-11-13,384.0
101109,NL,2023-11-20,264.0
101109,NL,2023-11-27,96.0
101109,NL,2023-12-04,600.0
101109,NL,2023-12-11,0.0
101109,NL,2023-12-18,0.0
101109,NL,2023-12-25,0.0
101109,NL,2024-01-01,0.0
101109,NL,2024-01-08,0.0
101109,NL,2024-01-15,0.0
101109,NL,2024-01-22,0.0
101109,NL,2024-01-29,0.0
101109,NL,2024-02-05,0.0
101109,NL,2024-02-12,0.0
101109,NL,2024-02-19,0.0
101109,NL,2024-02-26,0.0
101109,NL,2024-03-04,72.0
101109,NL,2024-03-11,0.0
101109,NL,2024-03-18,72.0
101109,NL,2024-03-25,48.0
101109,NL,2024-04-01,216.0
101109,NL,2024-04-08,96.0
101109,NL,2024-04-15,96.0
101109,NL,2024-04-22,240.0
101109,NL,2024-04-29,240.0
101109,NL,2024-05-06,240.0
101109,NL,2024-05-13,240.0
101109,NL,2024-05-20,120.0
101109,NL,2024-05-27,480.0
101109,NL,2024-06-03,120.0
101109,NL,2024-06-10,48.0
101109,NL,2024-06-17,120.0
101109,NL,2024-06-24,240.0
101109,NL,2024-07-01,120.0
101109,NL,2024-07-08,120.0
101109,NL,2024-07-15,240.0
101109,NL,2024-07-22,120.0
101109,NL,2024-07-29,240.0
101109,NL,2024-08-05,0.0
101109,NL,2024-08-12,120.0
101109,NL,2024-08-19,0.0
101109,NL,2024-08-26,0.0
101109,NL,2024-09-02,0.0
101109,NL,2024-09-09,120.0
101109,NL,2024-09-16,240.0
101109,NL,2024-09-23,480.0
101109,NL,2024-09-30,96.0
101109,NL,2024-10-07,120.0
101109,NL,2024-10-14,600.0
101109,NL,2024-10-21,0.0
101109,NL,2024-10-28,120.0
101109,NL,2024-11-04,48.0
101109,NL,2024-11-11,120.0
101109,NL,2024-11-18,120.0
101109,NL,2024-11-25,120.0
101109,NL,2024-12-02,600.0
101109,NL,2024-12-09,0.0
101109,NL,2024-12-16,0.0
101109,NL,2024-12-23,0.0
101109,NL,2024-12-30,600.0
101109,NL,2025-01-06,120.0
101109,NL,2025-01-13,120.0
101109,NL,2025-01-20,0.0
101109,NL,2025-01-27,384.0
101109,NL,2025-02-03,576.0
101109,NL,2025-02-10,0.0
101109,NL,2025-02-17,312.0
101109,NL,2025-02-24,72.0
101109,NL,2025-03-03,0.0
101109,NL,2025-03-10,96.0
101109,NL,2025-03-17,0.0
101109,NL,2025-03-24,120.0
101109,NL,2025-03-31,120.0
101109,NL,2025-04-07,1200.0
101109,NL,2025-04-14,0.0
101109,NL,2025-04-21,0.0
101109,NL,2025-04-28,0.0
101109,NL,2025-05-05,120.0
101109,NL,2025-05-12,0.0
101109,NL,2025-05-19,0.0
101109,NL,2025-05-26,24.0
101109,NL,2025-06-02,240.0
101109,NL,2025-06-09,0.0
101109,NT,2023-12-04,24.0
101109,NT,2023-12-11,0.0
101109,NT,2023-12-18,0.0
101109,NT,2023-12-25,0.0
101109,NT,2024-01-01,0.0
101109,NT,2024-01-08,0.0
101109,NT,2024-01-15,0.0
101109,NT,2024-01-22,0.0
101109,NT,2024-01-29,0.0
101109,NT,2024-02-05,0.0
101109,NT,2024-02-12,0.0
101109,NT,2024-02-19,0.0
101109,NT,2024-02-26,0.0
101109,NT,2024-03-04,0.0
101109,NT,2024-03-11,0.0
101109,NT,2024-03-18,0.0
101109,NT,2024-03-25,0.0
101109,NT,2024-04-01,0.0
101109,NT,2024-04-08,0.0
101109,NT,2024-04-15,0.0
101109,NT,2024-04-22,24.0
101109,NT,2024-04-29,0.0
101109,NT,2024-05-06,0.0
101109,NT,2024-05-13,0.0
101109,NT,2024-05-20,0.0
101109,NT,2024-05-27,0.0
101109,NT,2024-06-03,0.0
101109,NT,2024-06-10,0.0
101109,NT,2024-06-17,0.0
101109,NT,2024-06-24,0.0
101109,NT,2024-07-01,0.0
101109,NT,2024-07-08,0.0
101109,NT,2024-07-15,96.0
101109,NT,2024-07-22,0.0
101109,NT,2024-07-29,0.0
101109,NT,2024-08-05,0.0
101109,NT,2024-08-12,0.0
101109,NT,2024-08-19,0.0
101109,NT,2024-08-26,48.0
101109,NT,2024-09-02,0.0
101109,NT,2024-09-09,0.0
101109,NT,2024-09-16,0.0
101109,NT,2024-09-23,0.0
101109,NT,2024-09-30,0.0
101109,NT,2024-10-07,0.0
101109,NT,2024-10-14,0.0
101109,NT,2024-10-21,0.0
101109,NT,2024-10-28,0.0
101109,NT,2024-11-04,0.0
101109,NT,2024-11-11,0.0
101109,NT,2024-11-18,0.0
101109,NT,2024-11-25,0.0
101109,NT,2024-12-02,0.0
101109,NT,2024-12-09,0.0
101109,NT,2024-12-16,24.0
101109,NT,2024-12-23,0.0
101109,NT,2024-12-30,0.0
101109,NT,2025-01-06,0.0
101109,NT,2025-01-13,0.0
101109,NT,2025-01-20,0.0
101109,NT,2025-01-27,0.0
101109,NT,2025-02-03,0.0
101109,NT,2025-02-10,0.0
101109,NT,2025-02-17,0.0
101109,NT,2025-02-24,0.0
101109,NT,2025-03-03,0.0
101109,NT,2025-03-10,0.0
101109,NT,2025-03-17,0.0
101109,NT,2025-03-24,0.0
101109,NT,2025-03-31,0.0
101109,NT,2025-04-07,0.0
101109,NT,2025-04-14,0.0
101109,NT,2025-04-21,0.0
101109,NT,2025-04-28,0.0
101109,NT,2025-05-05,0.0
101109,NT,2025-05-12,0.0
101109,NT,2025-05-19,0.0
101109,NT,2025-05-26,0.0
101109,NT,2025-06-02,0.0
101109,NT,2025-06-09,0.0
101109,NU,2023-07-24,72.0
101109,NU,2023-07-31,0.0
101109,NU,2023-08-07,0.0
101109,NU,2023-08-14,0.0
101109,NU,2023-08-21,72.0
101109,NU,2023-08-28,0.0
101109,NU,2023-09-04,0.0
101109,NU,2023-09-11,0.0
101109,NU,2023-09-18,0.0
101109,NU,2023-09-25,72.0
101109,NU,2023-10-02,0.0
101109,NU,2023-10-09,0.0
101109,NU,2023-10-16,0.0
101109,NU,2023-10-23,0.0
101109,NU,2023-10-30,0.0
101109,NU,2023-11-06,0.0
101109,NU,2023-11-13,96.0
101109,NU,2023-11-20,0.0
101109,NU,2023-11-27,0.0
101109,NU,2023-12-04,0.0
101109,NU,2023-12-11,0.0
101109,NU,2023-12-18,0.0
101109,NU,2023-12-25,0.0
101109,NU,2024-01-01,0.0
101109,NU,2024-01-08,0.0
101109,NU,2024-01-15,120.0
101109,NU,2024-01-22,0.0
101109,NU,2024-01-29,0.0
101109,NU,2024-02-05,0.0
101109,NU,2024-02-12,0.0
101109,NU,2024-02-19,0.0
101109,NU,2024-02-26,0.0
101109,NU,2024-03-04,0.0
101109,NU,2024-03-11,0.0
101109,NU,2024-03-18,0.0
101109,NU,2024-03-25,72.0
101109,NU,2024-04-01,0.0
101109,NU,2024-04-08,0.0
101109,NU,2024-04-15,0.0
101109,NU,2024-04-22,0.0
101109,NU,2024-04-29,0.0
101109,NU,2024-05-06,48.0
101109,NU,2024-05-13,0.0
101109,NU,2024-05-20,0.0
101109,NU,2024-05-27,0.0
101109,NU,2024-06-03,0.0
101109,NU,2024-06-10,0.0
101109,NU,2024-06-17,48.0
101109,NU,2024-06-24,0.0
101109,NU,2024-07-01,0.0
101109,NU,2024-07-08,0.0
101109,NU,2024-07-15,0.0
101109,NU,2024-07-22,0.0
101109,NU,2024-07-29,24.0
101109,NU,2024-08-05,0.0
101109,NU,2024-08-12,0.0
101109,NU,2024-08-19,0.0
101109,NU,2024-08-26,0.0
101109,NU,2024-09-02,0.0
101109,NU,2024-09-09,0.0
101109,NU,2024-09-16,0.0
101109,NU,2024-09-23,24.0
101109,NU,2024-09-30,0.0
101109,NU,2024-10-07,0.0
101109,NU,2024-10-14,0.0
101109,NU,2024-10-21,0.0
101109,NU,2024-10-28,48.0
101109,NU,2024-11-04,0.0
101109,NU,2024-11-11,0.0
101109,NU,2024-11-18,0.0
101109,NU,2024-11-25,0.0
101109,NU,2024-12-02,0.0
101109,NU,2024-12-09,0.0
101109,NU,2024-12-16,0.0
101109,NU,2024-12-23,0.0
101109,NU,2024-12-30,0.0
101109,NU,2025-01-06,0.0
101109,NU,2025-01-13,0.0
101109,NU,2025-01-20,0.0
101109,NU,2025-01-27,0.0
101109,NU,2025-02-03,0.0
101109,NU,2025-02-10,96.0
101109,NU,2025-02-17,0.0
101109,NU,2025-02-24,0.0
101109,NU,2025-03-03,0.0
101109,NU,2025-03-10,0.0
101109,NU,2025-03-17,0.0
101109,NU,2025-03-24,0.0
101109,NU,2025-03-31,0.0
101109,NU,2025-04-07,0.0
101109,NU,2025-04-14,0.0
101109,NU,2025-04-21,0.0
101109,NU,2025-04-28,0.0
101109,NU,2025-05-05,48.0
101109,NU,2025-05-12,0.0
101109,NU,2025-05-19,0.0
101109,NU,2025-05-26,0.0
101109,NU,2025-06-02,0.0
101109,NU,2025-06-09,0.0
101109,QC,2023-07-10,2784.0
101109,QC,2023-07-17,0.0
101109,QC,2023-07-24,1416.0
101109,QC,2023-07-31,1368.0
101109,QC,2023-08-07,1080.0
101109,QC,2023-08-14,1416.0
101109,QC,2023-08-21,840.0
101109,QC,2023-08-28,2400.0
101109,QC,2023-09-04,0.0
101109,QC,2023-09-11,1080.0
101109,QC,2023-09-18,1008.0
101109,QC,2023-09-25,984.0
101109,QC,2023-10-02,1920.0
101109,QC,2023-10-09,0.0
101109,QC,2023-10-16,1176.0
101109,QC,2023-10-23,1488.0
101109,QC,2023-10-30,1440.0
101109,QC,2023-11-06,1104.0
101109,QC,2023-11-13,0.0
101109,QC,2023-11-20,0.0
101109,QC,2023-11-27,0.0
101109,QC,2023-12-04,0.0
101109,QC,2023-12-11,0.0
101109,QC,2023-12-18,0.0
101109,QC,2023-12-25,0.0
101109,QC,2024-01-01,0.0
101109,QC,2024-01-08,0.0
101109,QC,2024-01-15,0.0
101109,QC,2024-01-22,0.0
101109,QC,2024-01-29,0.0
101109,QC,2024-02-05,0.0
101109,QC,2024-02-12,0.0
101109,QC,2024-02-19,0.0
101109,QC,2024-02-26,0.0
101109,QC,2024-03-04,0.0
101109,QC,2024-03-11,0.0
101109,QC,2024-03-18,0.0
101109,QC,2024-03-25,0.0
101109,QC,2024-04-01,0.0
101109,QC,2024-04-08,0.0
101109,QC,2024-04-15,0.0
101109,QC,2024-04-22,0.0
101109,QC,2024-04-29,0.0
101109,QC,2024-05-06,0.0
101109,QC,2024-05-13,0.0
101109,QC,2024-05-20,0.0
101109,QC,2024-05-27,0.0
101109,QC,2024-06-03,0.0
101109,QC,2024-06-10,0.0
101109,QC,2024-06-17,0.0
101109,QC,2024-06-24,0.0
101109,QC,2024-07-01,0.0
101109,QC,2024-07-08,0.0
101109,QC,2024-07-15,0.0
101109,QC,2024-07-22,0.0
101109,QC,2024-07-29,0.0
101109,QC,2024-08-05,0.0
101109,QC,2024-08-12,0.0
101109,QC,2024-08-19,0.0
101109,QC,2024-08-26,0.0
101109,QC,2024-09-02,0.0
101109,QC,2024-09-09,0.0
101109,QC,2024-09-16,0.0
101109,QC,2024-09-23,0.0
101109,QC,2024-09-30,0.0
101109,QC,2024-10-07,0.0
101109,QC,2024-10-14,0.0
101109,QC,2024-10-21,0.0
101109,QC,2024-10-28,0.0
101109,QC,2024-11-04,0.0
101109,QC,2024-11-11,0.0
101109,QC,2024-11-18,0.0
101109,QC,2024-11-25,0.0
101109,QC,2024-12-02,0.0
101109,QC,2024-12-09,0.0
101109,QC,2024-12-16,0.0
101109,QC,2024-12-23,0.0
101109,QC,2024-12-30,0.0
101109,QC,2025-01-06,0.0
101109,QC,2025-01-13,0.0
101109,QC,2025-01-20,0.0
101109,QC,2025-01-27,0.0
101109,QC,2025-02-03,0.0
101109,QC,2025-02-10,0.0
101109,QC,2025-02-17,0.0
101109,QC,2025-02-24,0.0
101109,QC,2025-03-03,0.0
101109,QC,2025-03-10,0.0
101109,QC,2025-03-17,0.0
101109,QC,2025-03-24,0.0
101109,QC,2025-03-31,0.0
101109,QC,2025-04-07,0.0
101109,QC,2025-04-14,0.0
101109,QC,2025-04-21,0.0
101109,QC,2025-04-28,0.0
101109,QC,2025-05-05,0.0
101109,QC,2025-05-12,0.0
101109,QC,2025-05-19,0.0
101109,QC,2025-05-26,0.0
101109,QC,2025-06-02,0.0
101109,QC,2025-06-09,0.0
101109,SK,2023-07-03,24.0
101109,SK,2023-07-10,48.0
101109,SK,2023-07-17,264.0
101109,SK,2023-07-24,192.0
101109,SK,2023-07-31,144.0
101109,SK,2023-08-07,0.0
101109,SK,2023-08-14,24.0
101109,SK,2023-08-21,24.0
101109,SK,2023-08-28,48.0
101109,SK,2023-09-04,96.0
101109,SK,2023-09-11,48.0
101109,SK,2023-09-18,72.0
101109,SK,2023-09-25,96.0
101109,SK,2023-10-02,48.0
101109,SK,2023-10-09,0.0
101109,SK,2023-10-16,0.0
101109,SK,2023-10-23,72.0
101109,SK,2023-10-30,24.0
101109,SK,2023-11-06,216.0
101109,SK,2023-11-13,24.0
101109,SK,2023-11-20,48.0
101109,SK,2023-11-27,24.0
101109,SK,2023-12-04,144.0
101109,SK,2023-12-11,72.0
101109,SK,2023-12-18,24.0
101109,SK,2023-12-25,24.0
101109,SK,2024-01-01,96.0
101109,SK,2024-01-08,72.0
101109,SK,2024-01-15,48.0
101109,SK,2024-01-22,120.0
101109,SK,2024-01-29,96.0
101109,SK,2024-02-05,24.0
101109,SK,2024-02-12,24.0
101109,SK,2024-02-19,96.0
101109,SK,2024-02-26,72.0
101109,SK,2024-03-04,0.0
101109,SK,2024-03-11,0.0
101109,SK,2024-03-18,264.0
101109,SK,2024-03-25,0.0
101109,SK,2024-04-01,0.0
101109,SK,2024-04-08,144.0
101109,SK,2024-04-15,0.0
101109,SK,2024-04-22,216.0
101109,SK,2024-04-29,0.0
101109,SK,2024-05-06,24.0
101109,SK,2024-05-13,0.0
101109,SK,2024-05-20,0.0
101109,SK,2024-05-27,24.0
101109,SK,2024-06-03,0.0
101109,SK,2024-06-10,24.0
101109,SK,2024-06-17,24.0
101109,SK,2024-06-24,0.0
101109,SK,2024-07-01,0.0
101109,SK,2024-07-08,0.0
101109,SK,2024-07-15,0.0
101109,SK,2024-07-22,360.0
101109,SK,2024-07-29,0.0
101109,SK,2024-08-05,192.0
101109,SK,2024-08-12,0.0
101109,SK,2024-08-19,0.0
101109,SK,2024-08-26,24.0
101109,SK,2024-09-02,0.0
101109,SK,2024-09-09,0.0
